Season,Rank,Team,Record,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last
2008-09,110,"Army",3-9,-16.6,0-0,0-0,0-1,106,120,110
2008-09,111,"Wyoming",4-8,-16.8,0-1,0-2,0-0,85,118,111
2008-09,112,"Miami OH",2-10,-18.2,0-0,0-0,0-2,86,113,112
2008-09,113,"W Kentucky",2-10,-18.5,0-0,0-1,0-2,95,113,113
2008-09,114,"SMU",1-11,-18.6,0-2,0-1,0-0,112,118,114
2008-09,115,"San Diego St",2-10,-20.3,0-1,0-2,0-0,90,117,116
2008-09,116,"New Mexico St",3-9,-20.5,0-0,0-1,0-1,103,116,115
2008-09,117,"Tulane",2-10,-20.7,0-0,0-2,0-1,79,117,117
2008-09,118,"Washington St",2-11,-23.8,0-2,0-4,0-0,63,118,118
2008-09,119,"Idaho",2-10,-29.4,0-0,0-2,0-0,118,120,119
2008-09,120,"N Texas",1-11,-30.6,0-0,0-1,0-1,118,120,120
2009-10,1,"Texas",13-1,26.3,2-1,1-0,1-0,1,3,1
2009-10,2,"Florida",13-1,26.1,0-1,4-0,2-0,1,2,2
2009-10,3,"Alabama",14-0,22.9,3-0,4-0,1-0,3,11,4
2009-10,4,"Oklahoma",8-5,21.5,0-2,1-3,1-0,2,4,3
2009-10,5,"TCU",12-1,20.8,0-1,2-0,2-0,3,18,5
2009-10,6,"Virginia Tech",10-3,18.7,1-1,2-1,0-1,6,23,6
2009-10,7,"Boise St",14-0,16.7,2-0,0-0,0-0,4,10,8
2009-10,8,"Nebraska",10-4,16.2,1-2,0-1,1-0,5,27,11
2009-10,9,"Ohio St",11-2,15.8,1-0,2-1,1-0,7,16,10
2009-10,10,"Oregon",10-3,15.7,0-2,1-1,4-0,5,31,7
2009-10,11,"Texas Tech",9-4,14.8,2-1,0-0,0-2,8,27,9
2009-10,12,"Penn St",11-2,13.4,0-1,1-1,0-0,5,17,12
2009-10,13,"Arkansas",8-5,12.2,0-2,0-2,1-1,13,63,15
2009-10,14,"Cincinnati",12-1,12.2,0-1,1-0,2-0,9,63,13
2009-10,15,"Georgia Tech",11-3,12.0,1-0,2-2,2-1,13,51,14
2009-10,16,"LSU",9-4,11.9,0-2,1-2,2-0,16,31,18
2009-10,17,"Clemson",9-5,11.8,0-1,1-2,1-0,11,30,17
2009-10,18,"USC",9-4,11.8,1-1,0-1,3-1,2,18,16
2009-10,19,"Mississippi",9-4,11.0,0-1,3-0,1-1,11,25,21
2009-10,20,"BYU",11-2,11.0,1-1,0-0,3-1,5,31,27
2009-10,21,"Miami",9-4,10.9,1-1,1-1,1-2,19,38,19
2009-10,22,"Pittsburgh",10-3,10.5,0-0,0-1,3-0,17,43,20
2009-10,23,"Stanford",8-5,10.1,1-1,1-0,1-3,18,52,22
2009-10,24,"Tennessee",7-6,9.3,0-3,0-1,1-1,17,46,23
2009-10,25,"Iowa",11-2,9.1,0-1,2-0,2-0,12,55,29
2009-10,26,"Oklahoma St",9-4,8.3,0-2,1-1,1-1,12,32,26
2009-10,27,"Oregon St",8-5,8.0,0-1,1-3,1-1,24,60,24
2009-10,28,"Georgia",8-5,8.0,0-1,2-2,1-1,16,45,32
2009-10,29,"Arizona",8-5,7.8,0-2,2-1,2-1,13,38,25
2009-10,30,"Wisconsin",10-3,7.5,0-1,1-1,0-0,30,56,33
2009-10,31,"Air Force",8-5,7.3,0-1,0-1,1-1,30,65,43
2009-10,32,"Auburn",8-5,7.2,0-1,2-2,0-1,19,40,30
2009-10,33,"Utah",10-3,7.1,0-2,0-1,2-0,15,40,36
2009-10,34,"Houston",10-4,6.9,0-0,1-0,1-1,21,49,28
2009-10,35,"UConn",8-5,6.5,0-0,0-2,1-1,35,62,39
2009-10,36,"Notre Dame",6-6,6.0,0-0,0-3,0-1,14,38,37
2009-10,37,"North Carolina",8-5,6.0,1-0,1-2,1-1,34,66,40
2009-10,38,"C Michigan",12-2,5.8,0-0,0-0,0-1,32,69,34
2009-10,39,"Florida St",7-6,5.5,0-1,1-3,1-0,24,60,46
2009-10,40,"California",8-5,5.2,0-1,1-1,1-2,5,41,35
2009-10,41,"Boston College",8-5,5.1,0-1,0-2,2-2,21,50,41
2009-10,42,"Missouri",8-5,5.0,0-2,0-0,0-1,8,43,31
2009-10,43,"West Virginia",9-4,4.7,0-0,1-1,1-2,29,58,42
2009-10,44,"South Carolina",7-6,4.5,0-2,2-2,0-2,35,53,44
2009-10,45,"Rutgers",9-4,4.4,0-0,0-2,1-0,32,67,49
2009-10,46,"Kansas",5-7,4.1,0-3,0-1,0-0,12,46,45
2009-10,47,"Kentucky",7-6,4.0,0-2,0-2,2-0,41,67,47
2009-10,48,"Michigan St",6-7,3.9,0-0,0-3,0-3,31,49,48
2009-10,49,"Navy",10-4,3.4,0-1,0-1,2-0,35,60,57
2009-10,50,"S Florida",8-5,3.2,0-0,0-3,1-1,23,57,55
2009-10,51,"UCLA",7-6,2.8,0-1,1-2,0-3,45,61,50
2009-10,52,"Nevada",8-5,2.4,0-1,0-0,0-1,38,94,38
2009-10,53,"E Carolina",9-5,2.4,0-1,0-1,1-1,51,81,54
2009-10,54,"Arizona St",4-8,2.2,0-1,0-2,0-4,22,54,52
2009-10,55,"Mississippi St",5-7,2.1,0-2,1-3,0-2,53,104,53
2009-10,56,"Texas A&M",6-7,1.6,0-2,1-1,0-2,39,78,51
2009-10,57,"Washington",5-7,1.2,0-1,1-2,2-2,56,91,56
2009-10,58,"Wake Forest",5-7,1.1,0-0,1-3,0-1,43,63,59
2009-10,59,"Southern Miss",7-6,0.7,0-0,0-0,0-1,28,63,58
2009-10,60,"Purdue",5-7,-0.1,1-1,0-0,0-2,38,66,61
2009-10,61,"Michigan",5-7,-0.8,0-1,0-2,1-1,33,64,63
2009-10,62,"Middle Tenn",10-3,-1.1,0-0,0-1,0-0,62,91,69
2009-10,63,"Minnesota",6-7,-1.1,0-1,0-2,1-2,52,66,65
2009-10,64,"Fresno St",8-5,-1.2,0-1,0-1,0-1,38,73,60
2009-10,65,"Kansas St",6-6,-1.4,0-2,0-1,0-0,62,92,64
2009-10,66,"Troy",9-4,-1.5,0-1,0-1,0-1,63,79,68
2009-10,67,"Baylor",4-8,-2.0,0-3,0-1,0-2,49,70,66
2009-10,68,"UCF",8-5,-2.0,0-1,0-1,1-0,61,102,62
2009-10,69,"Northwestern",8-5,-2.5,0-0,1-1,1-1,55,82,72
2009-10,70,"Tulsa",5-7,-2.7,0-2,0-0,0-1,19,71,70
2009-10,71,"NC State",5-7,-3.0,0-1,1-1,1-1,45,76,74
2009-10,72,"Iowa St",7-6,-3.1,1-0,0-1,0-1,60,101,71
2009-10,73,"N Illinois",7-6,-3.2,0-0,0-0,0-2,60,82,67
2009-10,74,"Temple",9-4,-3.3,0-0,0-1,0-0,66,113,73
2009-10,75,"Virginia",3-9,-3.4,0-2,0-3,1-0,58,103,77
2009-10,76,"Louisiana Tech",4-8,-3.4,0-1,0-1,0-1,75,95,75
2009-10,77,"Vanderbilt",2-10,-3.7,0-1,0-4,0-1,36,78,78
2009-10,78,"Colorado",3-9,-3.7,0-2,0-0,0-1,67,87,76
2009-10,79,"Illinois",3-9,-4.5,0-1,0-2,0-0,57,90,81
2009-10,80,"Ohio",9-5,-4.9,0-0,0-1,0-2,73,98,79
2009-10,81,"Bowling Green",7-6,-5.1,0-1,0-0,0-1,63,85,80
2009-10,82,"Duke",5-7,-5.7,0-1,0-2,0-1,70,110,82
2009-10,83,"SMU",8-5,-6.1,0-1,0-0,0-1,83,111,90
2009-10,84,"Louisville",4-8,-6.2,0-0,0-2,0-2,64,84,83
2009-10,85,"Buffalo",5-7,-7.2,0-0,0-1,0-1,66,99,84
2009-10,86,"Indiana",4-8,-7.5,0-1,0-2,0-1,77,112,85
2009-10,87,"Marshall",7-6,-7.6,0-1,0-0,0-0,82,112,87
2009-10,88,"Syracuse",4-8,-7.8,0-0,0-3,0-1,76,101,86
2009-10,89,"Maryland",2-10,-8.0,0-1,1-0,0-2,74,107,88
2009-10,90,"UAB",5-7,-8.8,0-0,0-1,0-0,68,104,89
2009-10,91,"Arkansas St",4-8,-9.3,0-1,0-1,0-0,60,94,93
2009-10,92,"UTEP",4-8,-9.4,0-1,0-0,1-0,79,98,91
2009-10,93,"UL Monroe",6-6,-9.5,0-1,0-0,0-0,70,103,92
2009-10,94,"Utah St",4-8,-10.1,0-1,0-1,0-1,84,110,94
2009-10,95,"Colorado St",3-9,-10.4,0-1,0-1,0-2,68,96,95
2009-10,96,"Wyoming",7-6,-10.7,0-2,0-1,0-2,96,113,99
2009-10,97,"W Michigan",5-7,-11.0,0-0,0-0,0-1,81,101,96
2009-10,98,"UNLV",5-7,-11.0,0-1,0-1,0-3,74,108,97
2009-10,99,"Idaho",8-5,-12.3,0-1,0-0,0-0,95,120,100
2009-10,100,"Kent St",5-7,-12.3,0-0,0-0,0-0,90,114,98
2009-10,101,"San Diego St",4-8,-12.4,0-1,0-1,0-2,93,110,102
2009-10,102,"Toledo",5-7,-13.0,0-1,0-0,0-1,75,105,101
2009-10,103,"Florida Atlantic",5-7,-13.1,0-1,0-0,0-0,101,114,104
2009-10,104,"Hawai'i",6-7,-13.2,0-1,0-0,0-1,80,110,103
2009-10,105,"Florida Intl",3-9,-13.9,0-2,0-0,0-0,88,107,106
2009-10,106,"Memphis",2-10,-14.4,0-0,0-2,0-1,86,113,105
2009-10,107,"Ball St",2-10,-14.7,0-0,0-0,0-2,62,111,107
2009-10,108,"Louisiana",6-6,-14.7,0-1,0-1,0-0,83,111,109
2009-10,109,"Akron",3-9,-14.8,0-0,0-1,0-1,67,109,108
2009-10,110,"Army",5-7,-15.1,0-0,0-0,0-1,89,112,110
2009-10,111,"New Mexico",1-11,-17.5,0-1,0-2,0-2,76,116,111
2009-10,112,"N Texas",2-10,-18.3,0-1,0-0,0-0,112,119,112
2009-10,113,"Miami OH",1-11,-19.6,0-1,0-1,0-0,111,118,113
2009-10,114,"Washington St",1-11,-20.9,0-1,0-2,0-4,111,116,114
2009-10,115,"San Jose St",2-10,-21.5,0-1,0-2,0-1,97,115,115
2009-10,116,"Rice",2-10,-22.2,0-0,0-1,0-2,69,117,116
2009-10,117,"W Kentucky",0-12,-23.4,0-0,0-1,0-0,117,120,117
2009-10,118,"Tulane",3-9,-24.0,0-0,0-2,0-1,115,119,119
2009-10,119,"E Michigan",0-12,-24.1,0-0,0-1,0-1,102,119,118
2009-10,120,"New Mexico St",3-10,-25.8,0-2,0-0,0-0,118,120,120
2010-11,1,"Oregon",12-1,26.8,1-1,1-0,4-0,1,7,1
2010-11,2,"Boise St",12-1,26.3,0-0,2-1,2-0,1,6,2
2010-11,3,"TCU",13-0,23.3,1-0,1-0,2-0,2,5,3
2010-11,4,"Stanford",12-1,22.5,0-1,2-0,5-0,4,45,4
2010-11,5,"Alabama",10-3,22.1,1-1,1-2,1-0,2,10,6
2010-11,6,"Ohio St",12-1,20.5,1-1,1-0,2-0,2,6,5
2010-11,7,"Auburn",14-0,19.5,3-0,4-0,2-0,7,26,7
2010-11,8,"Oklahoma",12-2,18.2,0-0,3-2,1-0,5,14,8
2010-11,9,"Wisconsin",11-2,15.7,1-1,1-0,1-0,9,40,9
2010-11,10,"Arkansas",10-3,15.6,0-3,4-0,1-0,9,24,11
2010-11,11,"Oklahoma St",11-2,15.2,0-1,1-1,1-0,11,52,13
2010-11,12,"Virginia Tech",11-3,14.4,0-2,1-0,2-0,8,41,10
2010-11,13,"LSU",11-2,13.5,1-2,3-0,1-0,8,23,17
2010-11,14,"Florida St",10-4,12.9,0-1,2-1,3-1,10,48,16
2010-11,15,"Missouri",10-3,12.6,1-0,1-2,1-0,9,35,14
2010-11,16,"Nebraska",10-4,12.5,0-1,2-1,0-0,5,16,12
2010-11,17,"South Carolina",9-5,12.3,1-3,2-1,1-0,10,28,15
2010-11,18,"Florida",8-5,12.1,0-1,1-3,0-1,2,18,18
2010-11,19,"Nevada",13-1,10.7,1-0,0-0,1-1,14,54,19
2010-11,20,"Georgia",6-7,10.6,0-2,0-2,0-1,9,29,20
2010-11,21,"Utah",10-3,9.9,0-2,0-0,2-1,6,38,23
2010-11,22,"Texas A&M",9-4,9.8,1-1,1-3,0-0,20,44,21
2010-11,23,"USC",8-5,9.6,0-2,0-0,4-2,14,29,24
2010-11,24,"Iowa",8-5,9.5,0-2,1-0,0-1,11,47,25
2010-11,25,"West Virginia",9-4,9.2,0-0,0-1,2-1,13,37,22
2010-11,26,"Mississippi St",9-4,9.1,0-3,2-1,0-0,25,51,33
2010-11,27,"NC State",9-4,8.6,0-0,2-1,0-2,26,80,29
2010-11,28,"Arizona",7-6,8.3,0-2,1-2,1-2,12,39,26
2010-11,29,"Miami",7-6,7.9,0-1,0-2,3-1,9,30,27
2010-11,30,"Oregon St",5-7,7.7,0-4,1-0,3-0,18,34,28
2010-11,31,"Arizona St",6-6,7.5,0-3,0-1,1-2,30,66,30
2010-11,32,"Notre Dame",8-5,7.4,0-1,2-0,2-0,30,58,36
2010-11,33,"Pittsburgh",8-5,7.2,0-0,0-2,0-2,27,56,34
2010-11,34,"Clemson",6-7,6.4,0-1,0-2,2-1,19,36,32
2010-11,35,"California",5-7,6.2,0-2,0-2,1-2,12,44,37
2010-11,36,"N Illinois",11-3,5.8,0-0,0-0,0-1,34,97,39
2010-11,37,"Air Force",9-4,5.3,0-2,0-1,0-0,17,42,38
2010-11,38,"Maryland",9-4,5.0,0-0,0-2,1-2,38,81,41
2010-11,39,"Illinois",7-6,4.9,0-1,0-1,1-0,37,75,40
2010-11,40,"Hawai'i",10-4,4.7,0-1,1-1,0-0,31,88,31
2010-11,41,"Michigan St",11-2,4.7,1-1,0-1,2-0,27,48,35
2010-11,42,"UCF",11-3,4.3,0-0,1-0,0-1,39,71,43
2010-11,43,"North Carolina",8-5,3.8,0-0,1-2,1-2,23,43,42
2010-11,44,"Tennessee",6-7,3.4,0-2,0-4,0-0,21,61,44
2010-11,45,"BYU",7-6,3.0,0-1,0-3,0-1,20,75,52
2010-11,46,"San Diego St",9-4,2.8,0-1,0-2,1-0,46,101,54
2010-11,47,"Texas",5-7,2.7,0-1,1-2,0-0,3,49,45
2010-11,48,"Louisville",7-6,2.6,0-0,0-1,0-2,44,77,46
2010-11,49,"Texas Tech",8-5,2.3,0-1,1-2,0-0,11,55,47
2010-11,50,"Tulsa",10-3,2.1,0-0,0-1,2-0,50,81,60
2010-11,51,"Kentucky",6-7,1.9,0-1,1-2,0-2,23,51,50
2010-11,52,"Kansas St",7-6,1.7,0-0,0-3,0-0,41,74,51
2010-11,53,"UConn",8-5,1.6,0-1,1-0,1-0,32,61,49
2010-11,54,"Penn St",7-6,1.5,0-2,0-2,0-1,24,56,53
2010-11,55,"Navy",9-4,1.4,0-0,0-0,1-2,44,71,48
2010-11,56,"S Florida",8-5,1.4,0-0,0-2,2-1,43,58,56
2010-11,57,"Georgia Tech",6-7,1.0,0-0,0-2,0-4,14,57,55
2010-11,58,"Washington",7-6,0.7,0-2,2-1,2-2,39,70,61
2010-11,59,"Cincinnati",4-8,0.1,0-1,0-1,0-2,16,60,59
2010-11,60,"Boston College",7-6,-0.5,0-0,0-3,1-3,33,82,62
2010-11,61,"Baylor",7-6,-0.9,0-2,0-2,0-1,39,78,57
2010-11,62,"Southern Miss",8-5,-1.1,0-0,0-1,0-0,59,75,63
2010-11,63,"Houston",5-7,-1.2,0-0,0-0,0-1,23,64,64
2010-11,64,"Michigan",7-6,-1.5,0-2,0-1,2-1,28,64,58
2010-11,65,"Syracuse",8-5,-2.3,0-0,1-0,0-1,54,77,66
2010-11,66,"UCLA",4-8,-2.5,0-2,0-1,1-3,40,86,65
2010-11,67,"Mississippi",4-8,-2.9,0-3,0-1,0-1,40,84,67
2010-11,68,"Colorado",5-7,-4.0,0-1,1-2,1-1,56,88,68
2010-11,69,"W Michigan",6-6,-4.5,0-0,0-0,0-2,69,106,70
2010-11,70,"Fresno St",8-5,-4.7,0-1,0-1,1-2,33,75,69
2010-11,71,"Temple",8-4,-4.7,0-0,0-0,0-1,63,95,72
2010-11,72,"SMU",7-7,-5.1,0-1,0-0,0-0,59,87,71
2010-11,73,"Troy",8-5,-5.4,0-0,0-2,0-0,57,88,76
2010-11,74,"Iowa St",5-7,-5.7,0-1,0-4,1-0,60,85,73
2010-11,75,"Northwestern",7-6,-5.9,0-1,1-0,0-1,49,75,74
2010-11,76,"Virginia",4-8,-6.0,0-0,0-3,1-1,54,77,75
2010-11,77,"Rutgers",4-8,-7.2,0-0,0-1,0-1,47,78,78
2010-11,78,"Army",7-6,-7.5,0-0,0-0,0-3,77,106,82
2010-11,79,"Minnesota",3-9,-7.7,0-2,1-1,1-1,59,93,80
2010-11,80,"Florida Intl",7-6,-7.9,0-0,0-1,0-2,79,114,86
2010-11,81,"Louisiana Tech",5-7,-7.9,0-1,0-2,0-1,77,105,79
2010-11,82,"C Michigan",3-9,-8.1,0-0,0-1,0-1,40,88,83
2010-11,83,"E Carolina",6-7,-8.4,0-0,0-1,1-1,60,83,77
2010-11,84,"Toledo",8-5,-8.4,0-1,0-0,0-2,82,117,84
2010-11,85,"Idaho",6-7,-8.7,0-1,0-2,0-1,58,105,85
2010-11,86,"Arkansas St",4-8,-9.0,0-1,0-0,0-0,79,103,87
2010-11,87,"Wake Forest",3-9,-9.1,0-1,0-2,0-3,46,94,88
2010-11,88,"Duke",3-9,-9.3,0-1,0-1,0-2,78,105,89
2010-11,89,"Ohio",8-5,-9.3,0-1,0-0,0-0,75,97,81
2010-11,90,"Purdue",4-8,-10.1,0-2,0-0,0-2,68,94,90
2010-11,91,"Indiana",5-7,-10.6,0-2,0-1,0-1,73,92,91
2010-11,92,"Washington St",2-10,-10.8,0-2,0-2,1-3,91,119,92
2010-11,93,"Miami OH",10-4,-10.8,0-0,0-2,1-0,89,108,94
2010-11,94,"Vanderbilt",2-10,-11.2,0-1,0-4,0-0,61,94,93
2010-11,95,"UAB",4-8,-11.9,0-0,0-0,0-1,85,100,95
2010-11,96,"Wyoming",3-9,-12.1,0-2,0-1,0-1,89,106,96
2010-11,97,"Kent St",5-7,-12.7,0-0,0-0,0-0,89,103,98
2010-11,98,"UTEP",6-7,-13.0,0-1,0-0,0-0,93,106,97
2010-11,99,"Marshall",5-7,-13.1,0-1,0-1,0-0,86,102,99
2010-11,100,"Utah St",4-8,-13.6,0-2,0-1,0-1,75,101,101
2010-11,101,"Middle Tenn",6-7,-13.8,0-0,0-0,0-0,65,105,100
2010-11,102,"Kansas",3-9,-14.9,0-0,0-4,0-0,41,109,102
2010-11,103,"N Texas",3-9,-15.8,0-0,0-0,0-1,103,113,103
2010-11,104,"Rice",4-8,-16.0,0-0,0-0,0-0,99,116,104
2010-11,105,"UL Monroe",5-7,-17.3,0-2,0-1,0-0,102,114,105
2010-11,106,"W Kentucky",2-10,-17.8,0-0,0-1,0-0,103,117,107
2010-11,107,"UNLV",2-11,-17.8,0-2,0-3,0-2,91,114,106
2010-11,108,"Bowling Green",2-10,-18.0,0-0,0-0,0-0,82,109,108
2010-11,109,"Colorado St",3-9,-18.4,0-1,0-2,0-1,100,115,109
2010-11,110,"Florida Atlantic",4-8,-18.6,0-0,0-0,0-0,86,110,110
2010-11,111,"Ball St",4-8,-18.9,0-0,0-1,0-1,84,114,111
2010-11,112,"San Jose St",1-12,-19.4,0-3,0-2,0-1,109,115,112
2010-11,113,"Louisiana",3-9,-19.8,0-0,0-2,0-0,102,115,113
2010-11,114,"Tulane",4-8,-20.1,0-0,0-0,0-0,108,120,114
2010-11,115,"Buffalo",2-10,-22.1,0-0,0-0,0-1,84,115,115
2010-11,116,"Akron",1-11,-26.1,0-0,0-0,0-1,107,120,116
2010-11,117,"Memphis",1-11,-26.3,0-0,0-0,0-1,108,120,117
2010-11,118,"New Mexico",1-11,-27.0,0-2,0-1,0-1,111,120,119
2010-11,119,"New Mexico St",2-10,-27.3,0-1,0-1,0-1,115,120,118
2010-11,120,"E Michigan",2-10,-29.0,0-1,0-0,0-1,112,120,120
2011-12,1,"LSU",13-1,27.1,2-1,3-0,2-0,1,9,1
2011-12,2,"Alabama",12-1,27.1,1-1,1-0,4-0,2,6,2
2011-12,3,"Oklahoma St",12-1,25.4,2-0,4-0,2-0,3,14,4
2011-12,4,"Oregon",12-2,25.2,2-2,1-0,1-0,1,5,3
2011-12,5,"Stanford",11-2,23.8,1-2,1-0,1-0,1,5,5
2011-12,6,"Oklahoma",10-3,21.5,0-1,4-1,2-0,1,6,6
2011-12,7,"Boise St",12-1,21.5,0-0,2-1,1-0,1,8,8
2011-12,8,"Wisconsin",11-3,21.0,0-1,1-1,2-1,7,32,7
2011-12,9,"USC",10-2,15.9,1-1,1-1,2-0,9,40,9
2011-12,10,"Houston",13-1,15.9,0-0,0-0,2-1,9,61,10
2011-12,11,"Arkansas",11-2,14.5,0-2,2-0,3-0,11,25,13
2011-12,12,"Michigan",11-2,14.3,0-0,1-1,3-0,9,38,11
2011-12,13,"Texas A&M",7-6,14.1,0-2,1-3,0-1,8,20,12
2011-12,14,"Florida St",9-4,13.0,0-1,1-0,2-1,8,19,14
2011-12,15,"TCU",11-2,12.8,1-0,0-1,1-0,6,24,15
2011-12,16,"South Carolina",11-2,12.4,0-0,1-1,5-0,10,22,18
2011-12,17,"Georgia",10-4,12.4,0-2,0-2,3-0,9,24,17
2011-12,18,"Notre Dame",8-5,12.1,0-2,1-2,0-0,10,35,16
2011-12,19,"Missouri",8-5,11.5,0-2,2-2,0-1,13,30,20
2011-12,20,"Michigan St",11-3,11.3,1-1,2-1,1-1,18,55,19
2011-12,21,"Texas",8-5,10.4,0-2,1-2,2-1,14,28,21
2011-12,22,"West Virginia",10-3,9.3,0-1,1-0,1-0,15,37,29
2011-12,23,"Baylor",10-3,8.5,1-1,3-1,0-1,22,65,24
2011-12,24,"Arizona St",6-7,8.2,1-2,1-0,1-1,9,26,22
2011-12,25,"Cincinnati",10-3,8.1,0-0,0-1,1-0,14,37,27
2011-12,26,"Florida",7-6,7.8,0-2,0-3,2-0,6,28,28
2011-12,27,"Virginia Tech",11-3,7.7,0-0,0-1,1-2,16,36,26
2011-12,28,"California",7-6,7.4,0-3,1-1,1-0,20,51,23
2011-12,29,"Southern Miss",12-2,7.3,1-0,0-0,0-0,28,77,30
2011-12,30,"Nebraska",9-4,7.1,0-1,1-2,2-0,16,36,25
2011-12,31,"Kansas St",10-3,6.4,0-2,4-1,1-0,28,87,32
2011-12,32,"Utah",8-5,6.2,0-1,0-1,1-1,13,46,33
2011-12,33,"Mississippi St",7-6,6.0,0-2,0-3,0-0,9,39,35
2011-12,34,"Ohio St",6-7,5.5,1-0,0-2,0-4,11,39,34
2011-12,35,"Tulsa",8-5,5.4,0-4,0-0,0-1,31,61,37
2011-12,36,"Miami",6-6,5.1,0-0,0-1,1-2,28,42,36
2011-12,37,"Vanderbilt",6-7,4.8,0-1,0-4,0-1,37,73,39
2011-12,38,"Penn St",9-4,4.8,0-3,0-0,1-1,28,40,38
2011-12,39,"Clemson",10-4,4.7,0-0,1-2,2-0,18,42,31
2011-12,40,"BYU",10-3,4.1,0-0,0-2,1-1,34,64,42
2011-12,41,"S Florida",5-7,4.0,0-0,1-2,0-1,18,44,41
2011-12,42,"Temple",9-4,3.8,0-0,0-0,0-1,29,74,44
2011-12,43,"Georgia Tech",8-5,3.6,0-0,0-1,1-3,15,45,40
2011-12,44,"Toledo",9-4,3.6,0-1,0-0,0-1,41,85,43
2011-12,45,"Rutgers",9-4,3.2,0-0,1-1,0-0,40,78,46
2011-12,46,"Iowa",7-6,2.4,0-1,1-1,0-2,46,66,47
2011-12,47,"Nevada",7-6,2.2,0-2,0-0,0-1,31,68,49
2011-12,48,"Arizona",4-8,2.2,0-4,1-0,0-1,17,54,48
2011-12,49,"Louisiana Tech",8-5,2.0,0-1,0-1,0-2,49,89,50
2011-12,50,"Illinois",7-6,1.6,0-1,1-1,0-2,18,52,51
2011-12,51,"Auburn",8-5,1.5,0-2,1-2,2-1,14,55,54
2011-12,52,"Pittsburgh",6-7,1.5,0-0,0-3,0-1,31,55,45
2011-12,53,"North Carolina",7-6,0.9,0-0,0-1,0-3,46,63,52
2011-12,54,"Washington",7-6,0.7,0-3,0-1,2-1,47,90,53
2011-12,55,"Tennessee",5-7,0.6,0-2,1-3,1-1,26,55,55
2011-12,56,"UCF",5-7,0.4,0-0,0-0,0-3,15,60,57
2011-12,57,"N Illinois",11-3,0.1,0-1,0-0,0-0,41,79,65
2011-12,58,"UCLA",6-8,-0.2,0-4,1-1,1-1,40,68,56
2011-12,59,"Air Force",7-6,-0.3,0-1,0-2,0-0,34,69,61
2011-12,60,"NC State",8-5,-0.4,0-0,0-2,1-0,42,76,62
2011-12,61,"Louisville",7-6,-0.6,0-0,1-1,0-0,58,90,59
2011-12,62,"Northwestern",6-7,-0.7,0-0,0-3,1-1,49,77,63
2011-12,63,"SMU",8-5,-0.8,0-1,1-1,0-2,39,85,72
2011-12,64,"Oregon St",3-9,-0.8,0-3,0-1,0-3,25,78,60
2011-12,65,"Arkansas St",10-3,-1.1,0-0,0-0,0-1,57,88,58
2011-12,66,"W Michigan",7-6,-1.4,0-0,0-1,0-0,50,83,66
2011-12,67,"San Diego St",8-5,-1.6,0-1,0-2,0-0,44,67,64
2011-12,68,"Navy",5-7,-2.3,0-0,0-2,0-1,45,73,70
2011-12,69,"Wake Forest",6-7,-2.4,0-0,1-1,0-4,53,70,69
2011-12,70,"UConn",5-7,-2.5,0-0,0-2,0-1,55,79,71
2011-12,71,"Iowa St",6-7,-2.6,1-1,0-4,0-1,67,103,67
2011-12,72,"Washington St",4-8,-2.7,0-2,1-0,0-2,43,90,68
2011-12,73,"Texas Tech",5-7,-2.9,1-1,0-4,0-1,32,73,73
2011-12,74,"Purdue",7-6,-3.1,0-1,0-2,1-1,57,84,74
2011-12,75,"Ohio",10-4,-3.9,0-0,0-0,0-0,54,89,78
2011-12,76,"Utah St",7-6,-4.3,0-0,0-0,0-1,65,103,77
2011-12,77,"Boston College",4-8,-4.3,0-0,0-2,1-2,49,87,76
2011-12,78,"Virginia",8-5,-4.5,0-0,1-0,1-2,65,82,75
2011-12,79,"Syracuse",5-7,-4.8,0-1,1-1,0-0,63,82,79
2011-12,80,"Florida Intl",8-5,-6.3,0-0,0-0,0-0,51,87,80
2011-12,81,"Kentucky",5-7,-7.5,0-1,0-2,0-3,55,94,81
2011-12,82,"Hawai'i",6-7,-7.6,0-0,0-0,0-1,58,89,82
2011-12,83,"Miami OH",4-8,-8.1,0-0,0-2,0-0,83,105,83
2011-12,84,"Louisiana",10-4,-8.3,0-1,0-0,0-0,83,116,86
2011-12,85,"Maryland",2-10,-8.4,0-0,0-3,1-1,39,85,84
2011-12,86,"Marshall",7-6,-8.9,0-1,0-1,1-2,84,102,95
2011-12,87,"Duke",3-9,-9.0,0-1,0-1,0-2,80,100,85
2011-12,88,"UL Monroe",4-9,-9.0,0-0,0-2,0-0,86,102,87
2011-12,89,"Army",3-9,-9.0,0-0,0-0,0-1,84,103,89
2011-12,90,"E Carolina",5-7,-9.2,0-1,0-1,0-2,73,99,91
2011-12,91,"Fresno St",4-9,-9.5,0-1,0-0,0-2,68,92,92
2011-12,92,"Colorado",3-10,-9.5,0-3,0-1,1-2,71,95,88
2011-12,93,"Mississippi",2-10,-9.6,0-2,0-2,0-3,51,94,93
2011-12,94,"San Jose St",5-7,-9.8,0-1,0-0,0-1,91,116,94
2011-12,95,"Wyoming",8-5,-9.9,0-1,0-1,0-1,89,108,90
2011-12,96,"UTEP",5-7,-10.6,0-1,0-0,0-2,85,110,98
2011-12,97,"Bowling Green",5-7,-10.6,0-0,0-1,0-0,80,109,97
